8.06636961880492;0.0	9.758534111134097;0.0	9.218789148089813;0.0	7.136268785413357;0.0	6.039257066474355;0.0	
8.941817016597266;0.0	9.727308529368225;0.0	8.455847004588993;0.0	7.3148078557614715;0.0	6.196868746038305;0.0	
8.807834967695106;0.0	9.779771799935851;0.0	8.752683060901372;0.0	7.767301325631598;0.0	7.3983555949571205;0.0	
8.934682165215099;0.0	9.685318564773183;0.0	8.565580182625602;0.0	7.95444517499653;0.0	7.223800859283697;0.0	
7.979031395687013;0.0	9.28946578704256;0.0	8.582283538624184;0.0	7.524154260668346;0.0	6.3189603480923635;0.0	
8.05977973493506;0.0	9.337636232759028;0.0	8.311498756551408;0.0	7.376982485455998;0.0	6.216920248970559;0.0	
8.541083993279257;0.0	9.618738313009077;0.0	8.71900809178824;0.0	7.418734456066336;0.0	7.040616641953427;0.0	
8.344319891091965;0.0	9.787160447979975;0.0	9.19309521281923;0.0	7.430836445595085;0.0	6.953646119660904;0.0	
7.859619594478635;0.0	9.644155227032378;0.0	8.892919885176033;0.0	7.792384918205938;0.0	6.6376298448515705;0.0	
8.46862468360623;0.0	9.55991392863825;0.0	8.333742190221294;0.0	7.455895436854556;0.0	6.727472990540863;0.0	
8.93039266431469;0.0	9.619553654051083;0.0	8.981687387936718;0.0	8.026197163939647;0.0	7.706284579084034;0.0	
7.987899691816751;0.0	9.939219065508242;0.0	8.613197799484276;0.0	7.512042424916404;0.0	6.8687764511935985;0.0	
7.399441122819411;0.0	9.721395072123892;0.0	8.696194922406786;0.0	7.335080498296218;0.0	6.353643113191939;0.0	
8.387198099770567;0.0	9.027622823513681;0.0	7.869376790048386;0.0	7.465735184728253;0.0	6.485678909851772;0.0	
8.654767053959567;0.0	9.855945104767542;0.0	9.015729562010078;0.0	7.720941386054951;0.0	7.3038196292967505;0.0	
8.382550830235132;0.0	10.132690179439996;0.0	8.983745404039215;0.0	7.386139929240576;0.0	6.519170082067614;0.0	
7.865913676678574;0.0	9.741187535425889;0.0	8.673262138851873;0.0	7.725579849488258;0.0	6.330592464498152;0.0	
7.953118695230479;0.0	9.690487251427996;0.0	8.571407126718476;0.0	7.552269538260904;0.0	6.78690198088306;0.0	
8.223892229312057;0.0	9.659040293398089;0.0	8.653917648958577;0.0	8.024273302505556;0.0	7.750670370449183;0.0	
5.941752431582321;0.0	9.480660234102764;0.0	8.494131371025963;0.0	7.194804172646854;0.0	6.585505305959348;0.0	
8.508103106398169;0.0	9.395071536097907;0.0	8.233746656539104;0.0	7.379045868683474;0.0	5.885581787855808;0.0	
8.342732320829867;0.0	9.452793309532774;0.0	8.67944024023098;0.0	7.129825655057875;0.0	6.673322234709797;0.0	
8.791283390139109;0.0	9.681804702090364;0.0	9.068975941441861;0.0	7.2673282800949845;0.0	6.992249465858134;0.0	
8.147567764570598;0.0	9.857864782602702;0.0	9.244497266422089;0.0	7.152954218826062;0.0	6.21526344062183;0.0	
8.08654023944294;0.0	9.922120537168727;0.0	7.802093195587141;0.0	7.3542117150462705;0.0	6.289555011868244;0.0	
8.661317093545964;0.0	9.532272535118912;0.0	8.486285692339607;0.0	7.80617244762659;0.0	7.465045390613953;0.0	
8.844455601301023;0.0	9.702112026423373;0.0	8.774523679340367;0.0	7.848898818364157;0.0	7.120205317682595;0.0	
7.6209570926546535;0.0	9.4546107862395;0.0	8.3474909414195;0.0	7.146702121829541;0.0	6.3663782921234064;0.0	
7.387286324992158;0.0	9.413401292255276;0.0	7.536838795494222;0.0	7.12139026926004;0.0	6.07562951170607;0.0	
8.035695509575234;0.0	9.673772299701364;0.0	8.972672747077644;0.0	7.7032428440322365;0.0	7.23678326768772;0.0	
8.438572972473779;0.0	10.044950765139234;0.0	9.095051598137541;0.0	7.083308208067184;0.0	6.22610532039125;0.0	
8.09860597344131;0.0	9.82529502926425;0.0	8.958729858158527;0.0	7.687758774416848;0.0	6.417272133920279;0.0	
8.360816467521333;0.0	10.206225872205351;0.0	8.202893781538279;0.0	7.705965686755128;0.0	6.491207528750757;0.0	
8.465632707378433;0.0	9.496826457963495;0.0	8.6665887952785;0.0	7.80278981711128;0.0	7.756922082044247;0.0	
